COSEWIC common name,COSEWIC population,cosewic_match,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Misty Lake Lentic Threespine Stickleback,,Misty Lake Lentic Threespine Stickleback,Endangered,2023-12-01,Gasterosteus aculeatus,Misty Lake Lentic Threespine Stickleback,,Endangered,2010-02-23,Schedule 1,2010-02-23,British Columbia,Fishes (freshwater),,Added to list
Misty Lake Lotic Threespine Stickleback,,Misty Lake Lotic Threespine Stickleback,Endangered,2023-12-01,Gasterosteus aculeatus,Misty Lake Lotic Threespine Stickleback,,Endangered,2010-02-23,Schedule 1,2010-02-23,British Columbia,Fishes (freshwater),,Added to list
Monarch,,Monarch,Endangered,2016-11-27,Danaus plexippus,Monarch,,Endangered,2023-12-08,Schedule 1,2003-06-05,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Arthropods,,Uplisted: Special Concern to endangered
Mormon Metalmark,Prairie population,Mormon Metalmark (Prairie population),Special Concern,2014-05-02,Apodemia mormo,Mormon Metalmark,Prairie population,Special Concern,2018-02-02,Schedule 1,2005-01-12,Saskatchewan,Arthropods,,Downlisted: Threatened to special concern
Mormon Metalmark,Southern Mountain population,Mormon Metalmark (Southern Mountain population),Endangered,2014-05-02,Apodemia mormo,Mormon Metalmark,Southern Mountain population,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Arthropods,,Added to list
Mottled Duskywing,Boreal population,Mottled Duskywing (Boreal population),Endangered,2012-11-25,Erynnis martialis,Mottled Duskywing,Boreal population,Endangered,2023-02-03,Schedule 1,2023-02-03,Manitoba,Arthropods,,Added to list
Mottled Duskywing,Great Lakes Plains population,Mottled Duskywing (Great Lakes Plains population),Endangered,2012-11-25,Erynnis martialis,Mottled Duskywing,Great Lakes Plains population,Endangered,2023-02-03,Schedule 1,2023-02-03,"Ontario, Quebec",Arthropods,,Added to list
Mountain Beaver,,Mountain Beaver,Special Concern,2022-12-03,Aplodontia rufa,Mountain Beaver,,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),,Added to list
Mountain Crab-eye,,Mountain Crab-eye,Special Concern,2016-04-29,Acroscyphus sphaerophoroides,Mountain Crab-eye,,Special Concern,2019-02-25,Schedule 1,2019-02-25,British Columbia,Lichens,,Added to list
Mountain Holly Fern,,Mountain Holly Fern,Threatened,2005-05-05,Polystichum scopulinum,Mountain Holly Fern,,Threatened,2006-08-15,Schedule 1,2006-08-15,"British Columbia, Newfoundland and Labrador, Quebec",Vascular Plants,,Added to list
Mountain Plover,,Mountain Plover,Endangered,2021-12-01,Charadrius montanus,Mountain Plover,,Endangered,2003-06-05,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Birds,,Added to list
